所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目描述/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 创建项目空间弹框 - 项目描述 - 字符无类型限制,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 在弹框中输入项目描述
4. 点击提交按钮","1. 成功打开创建项目空间弹框
2. 项目描述输入框允许输入任意类型字符
3. 点击提交后，系统成功创建项目空间并提示操作成功
4. ",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 创建项目空间/,项目管理 - 列表页按钮&功能（封伟） - 创建项目空间 - 新增和编辑的幂等验证,系统已启动，用户已登录，且具有创建项目空间的权限,"1. 打开项目管理列表页
2. 点击创建项目空间按钮
3. 输入项目空间的基本信息并提交
4. 再次点击创建项目空间按钮
5. 使用相同的参数再次提交","1. 成功打开创建项目空间页面
2. 输入的基本信息正确显示
3. 第一次提交后，系统成功创建项目空间并提示操作成功
4. 第二次提交时，系统不再创建新的项目空间，而是显示已存在相同项目空间的信息
5. ",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目状态筛选框/,项目管理 - 列表页按钮&功能（封伟） - 项目状态筛选框 - 全部状态（默认值）,系统已启动，用户已登录，且处于项目管理列表页,"1. 打开项目管理列表页
2. 观察项目状态筛选框
3. 选择默认值‘全部状态’","1. 成功打开项目管理列表页
2. 项目状态筛选框显示
3. 默认选中‘全部状态’选项",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目状态筛选框/,项目管理 - 列表页按钮&功能（封伟） - 项目状态筛选框 - 进行中,系统已启动，用户已登录，且已进入项目管理列表页,"1. 进入项目管理列表页
2. 定位到项目状态筛选框
3. 选择'进行中'状态","1. 筛选框显示'进行中'状态
2. 列表页仅显示状态为'进行中'的项目
3. 系统正确处理筛选请求并更新列表显示",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目状态筛选框/,项目管理 - 列表页按钮&功能（封伟） - 项目状态筛选框 - 已结项,系统已启动，用户已登录，且当前处于项目管理列表页,"1. 打开项目管理列表页
2. 定位到项目状态筛选框
3. 选择已结项状态","1. 项目状态筛选框显示已选中的已结项状态
2. 列表页仅显示状态为已结项的项目
3. 系统响应快速，无卡顿或错误提示",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框/,项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框 - 全部类型（默认值）,系统已启动，用户已登录，且处于项目管理列表页,"1. 打开项目管理列表页
2. 观察项目类型筛选框
3. 选择默认值‘全部类型’","1. 成功打开项目管理列表页
2. 项目类型筛选框显示
3. 默认选中‘全部类型’选项",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框/,项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框 - 质检,系统已启动，用户已登录至项目管理列表页,"1. 打开项目管理列表页
2. 定位到项目类型筛选框
3. 选择质检类型","1. 项目类型筛选框正确显示
2. 质检类型选项正确加载
3. 选择质检类型后，列表页显示与质检类型相关的项目",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框/,项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框 - 操作,系统已启动，用户已登录，且处于项目管理列表页,"1. 打开项目管理列表页
2. 定位到项目类型筛选框
3. 选择一个项目类型","1. 项目类型筛选框显示所有可用项目类型
2. 选择的项目类型被正确选中
3. 列表页内容根据所选项目类型进行筛选，只显示该类型的项目",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框/,项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框 - 打磨,系统已启动，用户已登录，且处于项目管理列表页,"1. 打开项目管理列表页
2. 定位到项目类型筛选框
3. 选择一个项目类型","1. 项目类型筛选框成功显示
2. 选择的项目类型被正确选中
3. 列表页内容根据所选项目类型进行筛选，显示匹配的项目",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框/,项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框 - 焊接,系统已启动，用户已登录到项目管理模块,"1. 打开项目管理列表页
2. 定位到项目类型筛选框
3. 选择焊接类型","1. 项目类型筛选框正确显示
2. 焊接类型被选中并高亮显示
3. 列表页仅显示焊接类型的项目",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框/,项目管理 - 列表页按钮&功能（封伟） - 项目类型筛选框 - 当前只有质检，其他置灰,系统已启动，用户已登录，且当前处于项目管理列表页,"1. 打开项目管理列表页
2. 查看项目类型筛选框
3. ","1. 成功打开项目管理列表页
2. 项目类型筛选框显示
3. 质检选项处于激活状态，其他项目类型选项置灰",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目名称或者项目标识搜索框 - 搜索输入框/,项目管理 - 列表页按钮&功能（封伟） - 项目名称或者项目标识搜索框 - 搜索输入框 - 根据标识和名称查询项目展示列表,系统已启动，用户已登录到项目管理模块,"1. 打开项目管理列表页
2. 定位到项目名称或者项目标识搜索框
3. 在搜索框中输入项目标识或名称
4. 点击搜索按钮","1. 搜索框能够接受输入
2. 输入的项目标识或名称能够被正确识别
3. 系统根据输入的标识或名称展示匹配的项目列表
4. ",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 项目名称或者项目标识搜索框 - 搜索输入框/,项目管理 - 列表页按钮&功能（封伟） - 项目名称或者项目标识搜索框 - 搜索输入框 - 点击搜索icon触发查询,系统已启动，用户已登录到项目管理模块,"1. 打开项目管理列表页
2. 定位到项目名称或者项目标识搜索框
3. 在搜索框中输入测试数据","1. 搜索框能够接受输入
2. 点击搜索icon后，系统能够触发查询操作
3. ",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 数据来源：会将一休云项目质检空间老数据刷到DMP,系统已启动，用户已登录，且具有项目管理权限,"1. 打开项目管理列表页
2. 检查按钮和功能是否正确显示
3. 点击按钮或执行功能","1. 列表页按钮和功能显示正确
2. 点击按钮或执行功能后，系统应正确响应
3. 系统应将一休云项目质检空间老数据成功刷到DMP",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 排序根据创建时间倒序,系统已启动，用户已登录，且已进入项目管理列表页,"1. 进入项目管理列表页
2. 查看当前创建时间排序状态
3. 点击列表页上的创建时间倒序排序按钮","1. 页面成功刷新
2. 创建时间按倒序排列
3. 排序按钮状态显示为已激活或高亮，表示已按创建时间倒序排序",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 项目标识,系统已启动，用户已登录，且已进入项目管理列表页,1. 在项目管理列表页中找到目标项目,1. 目标项目信息清晰可见,1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 项目名称,系统已启动，用户已登录，且已进入项目管理列表页,1. 在项目管理列表页中找到目标项目,1. 目标项目名称清晰可见,1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 老的空间只有空间名称，同步过来之后，空间名称对应的是项目编码，项目名称自动同步一样的,系统已启动，用户已登录，且项目管理模块已初始化,"1. 打开项目管理列表页
2. 查找并点击特定项目名称
3. 查看项目详情页面
4. 
5. ","1. 成功打开项目管理列表页
2. 列表页显示所有项目信息
3. 点击项目名称后，成功跳转到项目详情页面
4. 项目详情页面显示正确的项目编码
5. 项目名称自动同步为项目编码",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 项目类型 - 质检/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 项目类型 - 质检 - 蓝色,系统已启动，用户已登录，且已进入项目管理列表页,1. 在列表页中找到项目详情按钮,1. 项目详情按钮可见且可点击,1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 项目类型 - EIIR/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 项目类型 - EIIR - 暂无,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页中找到EIIR项目类型
2. 点击EIIR项目类型的查看详情按钮
3. ","1. 成功跳转到项目详情页面
2. 页面正确显示EIIR项目的详细信息
3. 页面提示暂无相关信息",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 产品数量/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 产品数量 - 统计项目下的产品数量,系统已启动，用户已登录，且已进入项目管理列表页,1. 在项目管理列表页中找到项目详情按钮,1. 项目详情按钮可见并可点击,1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 设备数量/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 设备数量 - 统计项目下的设备数量,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在项目管理列表页中找到项目详情按钮并点击
2. 在项目详情页面中找到设备数量统计功能并点击
3. 查看设备数量统计结果","1. 成功进入项目详情页面
2. 设备数量统计功能正常显示
3. 显示的设备数量与项目实际设备数量一致",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 成员数量/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 成员数量 - 统计项目下的成员数量,系统已启动，用户已登录，且已进入项目管理列表页,"1. 进入项目管理列表页
2. 选择一个项目
3. 点击项目详情按钮","1. 成功进入项目详情页面
2. 项目详情页面正确显示
3. 成员数量统计信息准确无误",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 状态/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 状态 - 进行中（绿色）,系统已启动，用户已登录，且当前处于项目管理列表页,1. 在项目管理列表页中找到项目详情按钮,1. 项目详情按钮可见并可点击,1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 状态/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 状态 - 已结项,系统已启动，用户已登录，且已进入项目管理列表页,1. 在列表页中找到目标项目,1. 目标项目状态显示为'已结项',1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 项目详情 - 具体设计根据UI,系统已启动，用户已登录，且已进入项目管理列表页,1. 在项目管理列表页中找到目标项目,1. 目标项目信息清晰可见,1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目标识/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目标识 - 回显,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页中找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中查看项目标识","1. 成功打开编辑项目空间弹框
2. 项目标识信息正确回显
3. 弹框中的项目标识信息可编辑",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目标识/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目标识 - 不可编辑,系统已启动，用户已登录，且已进入项目管理列表页,1. 在项目管理列表页中找到需要编辑的项目空间,1. 点击编辑按钮，弹出编辑项目空间弹框,1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目名称/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目名称 - 回显,系统已启动，用户已登录，且已进入项目管理列表页,1. 在项目管理列表页中找到需要编辑的项目空间,1. 点击编辑按钮，弹出编辑项目空间弹框,1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目名称/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目名称 - 同新增校验,系统已启动，用户已登录，且已进入项目管理列表页,1. 在项目列表页找到需要编辑的项目空间,1. 点击编辑按钮，成功打开编辑项目空间弹框,1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型 - 回显,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页中找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中查看项目类型信息","1. 成功打开编辑项目空间弹框
2. 项目类型信息正确回显
3. 弹框界面布局合理，操作按钮可见",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型 - 质检(默认值),系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中查看项目类型字段","1. 成功进入编辑项目空间弹框
2. 项目类型字段显示为质检（默认值）
3. 弹框中所有字段均正确显示",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型 - 操作,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页中找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中找到项目类型字段
4. 修改项目类型
5. 点击保存按钮","1. 成功打开编辑项目空间弹框
2. 项目类型字段可编辑
3. 修改后的项目类型被正确保存
4. 弹框关闭，并返回列表页
5. 列表页中对应项目的项目类型更新为修改后的值",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型 - 打磨,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中选择项目类型为‘打磨’","1. 成功打开编辑项目空间弹框
2. 弹框中显示的项目类型选项正确包含‘打磨’
3. 选择‘打磨’后，点击确认按钮，系统正确处理并提示操作成功",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型 - 焊接,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中选择项目类型为焊接","1. 成功打开编辑项目空间弹框
2. 弹框中显示的项目类型选项包含焊接
3. 选择焊接后，点击确认按钮，系统成功更新项目类型并关闭弹框",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型 - 必选项,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中找到项目类型字段","1. 成功打开编辑项目空间弹框
2. 项目类型字段为必选项，有相应的标记或提示
3. 编辑项目空间弹框中其他字段显示正确",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目类型 - 当前只有质检，其他置灰,系统已启动，用户已登录，且当前用户有权限编辑项目空间,"1. 打开项目管理列表页
2. 找到需要编辑的项目空间
3. 点击编辑按钮","1. 成功打开编辑项目空间弹框
2. 项目类型下拉列表中只显示质检选项
3. 其他项目类型选项均置灰不可选",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 所属行业/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 所属行业 - 回显,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页中找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中查看所属行业字段","1. 成功进入编辑项目空间弹框
2. 所属行业字段正确回显
3. 所属行业字段可编辑",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 所属行业/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 所属行业 - 3C电子,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页找到目标项目空间
2. 点击编辑按钮
3. 在弹框中找到所属行业字段
4. 选择3C电子选项
5. 点击保存按钮","1. 成功打开编辑项目空间弹框
2. 所属行业字段可正常选择3C电子
3. 点击保存后，系统成功更新项目空间信息
4. 弹框关闭，并返回列表页显示更新后的信息
5. ",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 所属行业/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 所属行业 - 汽车配件,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页找到目标项目空间
2. 点击编辑按钮
3. 在弹框中找到所属行业字段
4. 选择汽车配件选项","1. 成功打开编辑项目空间弹框
2. 所属行业字段可正常选择
3. 选择汽车配件后，弹框正确显示该选项
4. 点击保存按钮，系统成功更新项目空间信息并提示操作成功",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 所属行业/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 所属行业 - 必选项,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在列表页找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中找到所属行业字段","1. 成功打开编辑项目空间弹框
2. 所属行业字段为必选项，且已选中
3. 编辑项目空间弹框中的其他字段信息正确显示",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目描述/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目描述 - 文案：请输入不超过250个字符,系统已启动，用户已登录，且已进入项目管理列表页,1. 在项目列表页找到需要编辑的项目空间,1. 成功进入编辑项目空间弹框,1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目描述/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 项目描述 - 字符无类型限制,系统已启动，用户已登录，且已进入项目管理列表页,"1. 在项目列表页找到需要编辑的项目空间
2. 点击编辑按钮
3. 在弹框中找到项目描述字段
4. 输入无类型限制的测试字符
5. 点击保存按钮","1. 成功打开编辑项目空间弹框
2. 项目描述字段允许输入无类型限制的字符
3. 点击保存后，系统能够正确保存输入的字符
4. 保存成功后，项目描述字段显示输入的字符
5. ",1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 确定/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 确定 - 同新增规则校验重名和必填项,系统已启动，用户已登录，且项目管理列表页已加载,1. 系统处理编辑请求,1. 系统成功处理编辑请求并提示操作成功,1,3,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 编辑 - 编辑项目空间弹框 - 取消,系统已启动，用户已登录，且项目管理列表页已加载,1. 在项目管理列表页中找到需要编辑的项目空间,1. 点击编辑按钮，成功打开编辑项目空间弹框,1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 结项/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 结项 - 项目空间状态是已结项的置灰,系统已启动，用户已登录，且当前项目空间状态为已结项,"1. 打开项目管理列表页
2. 查找状态为已结项的项目空间
3. ","1. 成功打开项目管理列表页
2. 找到状态为已结项的项目空间
3. 项目空间中的结项按钮被置灰，不可点击",1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 结项/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 结项 - 二次确认弹框,系统已启动，用户已登录，且当前用户有权限进行结项操作,"1. 打开项目管理列表页
2. 找到待结项的项目
3. 点击项目的结项按钮","1. 显示结项操作确认弹框
2. 弹框中显示项目的基本信息
3. 弹框中包含二次确认的选项（如确认结项和取消结项）",1,1,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 重启/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 重启 - 项目空间状态是进行中的置灰,系统已启动，用户已登录，且当前项目空间状态为进行中,"1. 打开项目管理列表页
2. 查找处于进行中的项目空间
3. ","1. 成功打开项目管理列表页
2. 找到处于进行中的项目空间
3. 重启按钮处于置灰状态，不可点击",1,2,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 重启/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 重启 - 二次确认弹框,系统已启动，用户已登录，且处于项目管理列表页,1. 点击列表页中的重启按钮,1. 弹出二次确认弹框,1,4,功能测试,功能测试阶段
/项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 进入项目/,项目管理 - 列表页按钮&功能（封伟） - 列表页 - 操作 - 进入项目 - 点击进入项目详情→项目总览页面,系统已启动，用户已登录，且项目管理列表页已加载,"1. 打开项目管理列表页
2. 定位到目标项目
3. 点击进入项目详情按钮","1. 成功进入项目详情页面
2. 显示项目总览页面
3. 页面内容正确显示项目相关信息",1,3,功能测试,功能测试阶段
/项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表/,项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目标识,系统已启动，用户已登录，且用户具有项目管理权限,"1. 打开项目管理页面
2. 选择项目总览模块
3. 点击进入项目按钮","1. 成功进入项目总览页面
2. 显示项目列表
3. 项目标识信息正确显示",1,1,功能测试,功能测试阶段
/项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目类型/,项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目类型 - 质检,系统已启动，用户已登录，且用户具有项目管理权限,"1. 进入项目管理模块
2. 选择项目总览功能
3. 查看项目列表
4. 选择项目类型为质检的项目","1. 成功进入项目管理模块
2. 正确显示项目总览页面
3. 项目列表中正确显示所有质检类型的项目
4. 选择质检类型的项目后，能够正确显示项目详细信息",1,2,功能测试,功能测试阶段
/项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目类型/,项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目类型 - 操作,系统已启动，用户已登录，且用户具有项目管理权限,"1. 进入项目管理模块
2. 选择项目总览功能
3. 查看项目列表
4. 选择特定项目类型","1. 成功进入项目管理模块
2. 正确显示项目总览页面
3. 项目列表完整且可查看
4. 选择的项目类型正确显示",1,4,功能测试,功能测试阶段
/项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目类型/,项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目类型 - 焊接,系统已启动，用户已登录，且用户具有项目管理权限,"1. 进入项目管理模块
2. 选择项目总览功能
3. 查找徐锴负责的项目
4. 点击进入项目","1. 成功进入项目总览页面
2. 页面显示徐锴负责的项目列表
3. 页面正确显示项目类型为焊接
4. ",1,1,功能测试,功能测试阶段
/项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目类型/,项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目类型 - 打磨,系统已启动，用户已登录，且用户具有项目管理权限,"1. 进入项目管理模块
2. 选择项目总览功能
3. 查看项目列表
4. 选择项目类型为‘打磨’","1. 成功进入项目管理模块
2. 成功显示项目总览页面
3. 项目列表正确显示
4. 成功筛选出项目类型为‘打磨’的项目",1,2,功能测试,功能测试阶段
/项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目状态/,项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目状态 - 进行中,系统已启动，用户已登录，且用户具有查看项目列表的权限,"1. 打开项目管理页面
2. 点击进入项目按钮
3. 选择项目总览（徐锴）模块
4. 查看项目列表","1. 成功进入项目管理页面
2. 正确显示项目总览（徐锴）模块
3. 成功显示项目列表
4. 项目状态正确显示为进行中",1,3,功能测试,功能测试阶段
/项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目状态/,项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 项目状态 - 已结项,系统已启动，用户已登录，且用户具有查看项目状态的权限,"1. 打开项目管理页面
2. 进入项目总览模块
3. 选择徐锴负责的项目
4. 点击进入项目列表页面","1. 成功进入项目总览页面
2. 正确显示徐锴负责的项目列表
3. 项目状态清晰展示，包括已结项的项目
4. ",1,3,功能测试,功能测试阶段
/项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表/,项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 创建时间,系统已启动，用户已登录，且具有项目管理权限,"1. 进入项目管理模块
2. 选择项目总览功能
3. 查看项目列表
4. 点击创建新项目按钮","1. 成功进入项目管理模块
2. 成功显示项目总览页面
3. 项目列表完整显示
4. 点击创建新项目按钮后，能够进入创建项目页面",1,3,功能测试,功能测试阶段
/项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 交付组长/,项目管理 - 【进入项目】 - 项目总览（徐锴） - 项目列表 - 交付组长 - 在UUAM中配置的一休系统角色,系统已启动，用户已登录，且用户具有项目管理权限,"1. 进入项目管理模块
2. 选择项目总览功能
3. 查找徐锴负责的项目
4. 点击进入项目详情页面","1. 成功进入项目总览页面
2. 徐锴负责的项目信息正确显示
3. 页面中包含交付组长角色配置选项
4. 在UUAM中配置的一休系统角色正确关联到交付组长",1,3,功能测试,功能测试阶段
