所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域 - 列表/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域 - 列表 - 大小,系统已启动，用户已登录，存在采集任务且有已上传文件,"1. 打开列表页，点击“进入采集”进入采集任务详情页面
2. 定位到“已经上传”区域，查看文件列表
3. 检查列表中的“大小”字段显示","1. 成功进入采集任务详情页面
2. 显示“已经上传”区域，包含文件列表
3. “大小”字段显示正确，格式符合规范（如KB/MB）",1,2,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域 - 列表 - S3地址/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域 - 列表 - S3地址 - 过长鼠标停留展示所有,系统已启动，用户已登录,"1. 由列表页点击“进入采集”进入采集任务详情页
2. 切换到“已经上传”区域
3. 在列表中找到S3地址过长的条目，将鼠标悬停在该地址上","1. 成功进入采集任务详情页
2. 显示“已经上传”区域内容
3. 鼠标悬停时，S3地址完整展示（如通过tooltip或完整文本显示）",1,4,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域 - 列表 - 状态/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域 - 列表 - 状态 - 只有“上传成功”状态（绿色）,系统已启动，用户已登录，存在包含已上传数据的采集任务,"1. 打开列表页面，点击“进入采集”进入采集任务详情页
2. 在详情页切换到“已经上传”区域
3. 查看列表中状态列","1. 成功进入采集任务详情页
2. “已经上传”区域显示正确
3. 状态列仅显示“上传成功”且字体为绿色",1,2,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域 - 列表/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域 - 列表 - 建议加个删除按钮，方便调整上传完成的文件,用户已登录，存在至少一个含有已上传文件的采集任务,"1. 进入我的采集列表页，点击“进入采集”按钮
2. 在采集任务详情页，定位到“已经上传”区域
3. 查看列表中的已上传文件是否每项都有删除按钮","1. 成功进入采集任务详情页
2. 可以看到“已经上传”区域，并显示已上传文件列表
3. 每个已上传文件旁均显示删除按钮",1,3,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - “已经上传”区域 - 分页系统统一,用户已登录，存在采集任务且包含已上传数据,"1. 进入采集列表页
2. 点击“进入采集”进入任务详情
3. 在“已经上传”区域点击下一页或指定页码","1. 列表页显示正常
2. 进入任务详情页并看到“已经上传”区域
3. 分页正常切换，数据更新正确",1,4,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 完成采集/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 完成采集 - 已经上传成功的文件不低于1个，否则置灰不能点击,系统已启动，用户已登录，列表页存在采集任务且已上传至少1个成功文件,"1. 点击列表页的“进入采集”按钮
2. 在采集任务详情页确认已上传成功的文件不低于1个
3. 点击“完成采集”按钮","1. 成功进入采集任务详情页
2. 确认“完成采集”按钮为可用状态（未置灰）
3. 系统提示“采集任务已完成”",1,3,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 完成采集 - 点击后出现二次弹框 - 完成采集 - 提示文案：确认完成采集任务「TASK - 2026/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 完成采集 - 点击后出现二次弹框 - 完成采集 - 提示文案：确认完成采集任务「TASK - 2026 - 012」吗?完成后任务会流转到标注阶段。,用户已登录，已在采集任务详情页（从列表页点击“进入采集”进入）,"1. 点击“完成采集”按钮
2. 在二次确认弹框中，点击“确认完成”按钮","1. 弹出二次确认弹框，显示文案“确认完成采集任务「TASK - 2026 - 012」吗?完成后任务会流转到标注阶段。”
2. 系统提示操作成功，任务状态变更为“标注中”",1,3,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 完成采集 - 点击后出现二次弹框 - 完成采集/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 完成采集 - 点击后出现二次弹框 - 完成采集 - 点击后任务流转到我的标注,系统已启动，用户已登录,"1. 在采集任务列表页点击“进入采集”按钮
2. 在任务详情页完成采集后点击“完成采集”按钮
3. 在二次弹框中点击确认","1. 成功进入采集任务详情页
2. 弹出确认完成采集的二次弹框
3. 任务流转到“我的标注”页面",1,1,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 完成采集 - 点击后出现二次弹框 - 取消/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 完成采集 - 点击后出现二次弹框 - 取消 - 关闭弹框，依然停留当前页,用户已登录，在采集任务列表页,"1. 点击列表页的“进入采集”按钮进入采集任务详情页
2. 执行完成采集操作，触发二次弹框
3. 在弹框中点击取消按钮，关闭弹框","1. 成功进入采集任务详情页
2. 弹出二次确认弹框
3. 弹框关闭，页面停留在当前采集任务详情页",1,4,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 返回 - 正在上传文件≥1时 - 二次确认弹框/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 返回 - 正在上传文件≥1时 - 二次确认弹框 - 提示文案：当前还有文件未上传到服务器本地。离开页面后，未完成上传的本地文件会丢失，需要重新选择同一个文件夹后继续上传。确认离开吗？,系统已启动，用户已登录，处于采集任务详情页，且有文件正在上传（≥1个）,1. 在采集任务详情页，确保有至少1个文件正在上传\n2. 点击返回按钮或执行离开页面操作\n3. 观察页面响应,,1,2,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 返回 - 正在上传文件≥1时 - 二次确认弹框 - 确认离开 - 返回我的采集列表页/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 返回 - 正在上传文件≥1时 - 二次确认弹框 - 确认离开 - 返回我的采集列表页 - 清空还未成功传到云服务的文件,系统已启动，用户已登录，存在正在上传≥1文件的采集任务,"1. 进入采集任务详情页
2. 点击返回按钮
3. 在二次确认弹框中点击确认离开","1. 返回我的采集列表页
2. 未成功上传的文件被清空
3. 采集任务状态更新",1,1,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 返回 - 正在上传文件≥1时 - 二次确认弹框 - 继续上传/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 返回 - 正在上传文件≥1时 - 二次确认弹框 - 继续上传 - 关闭弹框停留在当前采集页,用户已登录，存在至少一个采集任务，该任务正在上传文件（文件数≥1），用户已在采集任务详情页,"1. 点击返回按钮
2. 在二次确认弹框中点击“继续上传”
3. 关闭弹框","1. 弹出二次确认弹框，提示有文件正在上传
2. 弹框关闭，继续上传文件
3. 页面停留在当前采集任务详情页，未返回列表",1,4,功能测试,功能测试阶段
/我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 返回 - 正在上传的文件为空时/,我的采集（封伟） - 采集任务详情 - 由列表页“进入采集”点击进入 - 返回 - 正在上传的文件为空时 - 直接返回到我的采集列表页,系统已启动，用户已登录，在我的采集列表页有采集任务,"1. 点击“进入采集”进入采集任务详情页
2. 确认正在上传的文件为空
3. 点击返回按钮","1. 成功进入采集任务详情页
2. 页面显示无正在上传的文件
3. 返回至我的采集列表页",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 数据来源/,我的标注（林禹成） - 数据来源 - “我的采集”中完成采集的数据且任务指派的标注人员是此账号用户,系统已启动，用户林禹成已登录,"1. 进入“我的标注”页面
2. 查看数据来源筛选条件
3. 选择“我的采集”并确认数据列表","1. 成功显示“我的标注”页面
2. 数据来源中可见“我的采集”选项
3. 列表仅显示由当前账号采集且指派给当前账号的标注任务",1,2,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 任务编号 - 与“任务管理”中的任务编号一致 - 系统自动创建，规则：TASK - 年/,我的标注（林禹成） - 列表页 - 任务编号 - 与“任务管理”中的任务编号一致 - 系统自动创建，规则：TASK - 年 - 001开始自增,系统已启动，用户已登录,"1. 打开我的标注列表页
2. 查看任务编号字段
3. 对照任务管理中的对应任务编号","1. 我的标注列表页成功打开
2. 任务编号显示为TASK-年-001格式
3. 与任务管理中的任务编号一致",1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 任务名称 - 与“任务管理”中的任务名称一致/,我的标注（林禹成） - 列表页 - 任务名称 - 与“任务管理”中的任务名称一致 - 新增时自行输入的,系统已启动，用户已登录,"1. 在任务管理页面新增任务并输入自定义名称
2. 进入我的标注列表页
3. 查看该任务名称","1. 任务创建成功
2. 列表页正常显示
3. 任务名称与输入一致",1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 分类 - 与“任务管理”中的分类一致/,我的标注（林禹成） - 列表页 - 分类 - 与“任务管理”中的分类一致 - 新增时自行选择的,系统已启动，用户已登录，任务管理中存在分类数据,"1. 打开我的标注列表页
2. 对比列表页分类与任务管理中的分类
3. 点击新增标注，选择分类","1. 列表页显示正常
2. 分类列表与任务管理中的分类完全一致
3. 可选择自定义分类并成功新增",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 状态 - 已采集/,我的标注（林禹成） - 列表页 - 状态 - 已采集 - 刚完成采集数据进入“我的标注”,系统已启动，用户已登录，用户刚完成采集数据,"1. 进入“我的标注”列表页
2. 查看列表中状态列
3. 检查刚完成采集的数据状态","1. 列表页成功加载
2. 列表显示状态为“已采集”的条目
3. 刚完成采集的数据状态显示为“已采集”",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 状态/,我的标注（林禹成） - 列表页 - 状态 - 无其他状态，因为完成标注后数据就会消失，且无法回退,用户已登录且存在标注数据,"1. 打开我的标注页面
2. 查看列表中最后一条数据的状态","1. 成功打开页面
2. 状态列仅显示单一状态（如“进行中”）",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 采集人员/,我的标注（林禹成） - 列表页 - 采集人员 - 完成采集的人员,系统已启动，用户已登录,"1. 进入我的标注列表页
2. 选择采集人员筛选条件
3. 选择'完成采集的人员'选项","1. 成功进入列表页
2. 筛选条件可正确选择
3. 列表只显示已完成采集的人员的标注",1,2,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 退回次数/,我的标注（林禹成） - 列表页 - 退回次数 - 无用，建议删除,系统已启动，用户林禹成已登录，进入我的标注列表页,"1. 检查列表页是否存在'退回次数'字段
2. 确认该字段已被删除或隐藏
3. 操作列表页分页、搜索等功能","1. 列表页不显示'退回次数'字段
2. 其他字段正常显示
3. 列表页功能正常无异常",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 创建时间/,我的标注（林禹成） - 列表页 - 创建时间 - 目前：年月日，建议改为：年月日 时分秒,系统已启动，用户已登录,"1. 进入“我的标注”列表页
2. 查看列表中标注的创建时间字段
3. 检查创建时间的显示格式","1. 成功显示列表页
2. 创建时间字段可见
3. 创建时间显示为“年月日 时分秒”格式",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 任务名称,用户已登录，列表页存在标注任务,"1. 打开我的标注列表页
2. 点击一个标注任务的“进入标注”按钮
3. 查看页面上方信息区域","1. 列表页显示正常
2. 成功进入标注页面
3. 上方信息区域显示该任务的任务名称",1,2,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 任务编号,用户已登录，且存在标注记录列表,"1. 进入'我的标注'列表页
2. 点击某个标注的'进入标注'操作
3. 查看上方信息区域的任务编号","1. 列表页显示标注记录
2. 成功进入标注详情页
3. 上方信息区域正确显示对应任务编号",1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - Total - 视频总时间：分：秒：毫秒/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - Total - 视频总时间：分：秒：毫秒 - 如：3:36.898，代表：3 分 36 秒 898 毫秒,系统已启动，用户已登录，我的标注列表页有标注数据,"1. 在列表页点击一个标注条目
2. 查看上方信息区域
3. 检查Total视频总时间格式","1. 成功进入标注详情页
2. 显示Total视频总时间
3. 格式为分:秒.毫秒，如3:36.898",1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 当前窗口/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 当前窗口 - 标注区域下方显示的时间区间,用户已登录，存在标注记录,"1. 进入我的标注列表页
2. 点击某条标注的进入标注操作
3. 查看标注区域下方的时间区间","1. 成功进入标注详情页
2. 标注区域显示
3. 标注区域下方正确显示对应的时间区间",1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 当前段/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 当前段 - 当前这段视频所在的时间区间,用户已登录，我的标注列表页有标注记录,"1. 进入我的标注列表页
2. 点击某条标注的“进入标注”按钮
3. 查看上方信息区域的“当前段”","1. 列表页正常显示
2. 进入标注详情页
3. 显示当前视频段的时间区间",1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 基准/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 基准 - 选择左臂显示：左臂视角,系统已启动，用户已登录,"1. 进入我的标注列表页
2. 点击操作中的【进入标注】
3. 在上方信息区域基准中选择左臂显示","1. 列表页正常显示
2. 成功进入标注页面
3. 显示左臂视角",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 基准/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 上方信息区域 - 基准 - 选择右臂显示：右臂视角,系统已启动，用户已登录，已进入我的标注列表页,"1. 点击某个标注项的【进入标注】按钮
2. 在上方信息区域点击基准下拉框
3. 选择【右臂】选项","1. 成功进入标注详情页
2. 基准下拉框弹出选项列表
3. 页面显示右臂视角的标注内容",1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 左臂视角 - 显示X段视频/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 左臂视角 - 显示X段视频 - 根据采集时上传的文件数量对应显示,用户已登录，存在包含左臂视角视频且上传了文件的标注样本,"1. 进入“我的标注”列表页
2. 点击样本的“进入标注”操作
3. 在左侧样本列表中选择“左臂视角”","1. 页面跳转至标注界面
2. 左侧样本列表正常显示
3. 右侧视频区域显示的视频数量与采集时上传的文件数量一致",1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 左臂视角 - 点击后/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 左臂视角 - 点击后 - 基准变更为左臂视角,系统已启动，用户已登录，进入我的标注页面,"1. 在列表页点击样本的【进入标注】按钮
2. 在左侧样本列表中点击左臂视角
3. 点击后观察基准视角","1. 成功进入标注页面
2. 左臂视角被选中并显示
3. 基准视角变更为左臂视角",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 左臂视角 - 点击后/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 左臂视角 - 点击后 - 右侧操作区域 3D姿态信息下方自动选中左臂,用户已登录，进入我的标注列表页，左侧样本列表已加载,1. 在左侧样本列表中点击左臂视角,1. 右侧操作区域3D姿态信息下方自动选中左臂,1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 右臂视角 - 显示X段视频/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 右臂视角 - 显示X段视频 - 根据采集时上传的文件数量对应显示,用户已登录，进入标注页面,"1. 打开标注页面并选择右臂视角
2. 查看左侧样本列表
3. 统计显示的视频段数","1. 成功打开标注页面并切换至右臂视角
2. 左侧样本列表正确显示
3. 显示的视频段数与采集时上传的文件数量一致",1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 右臂视角 - 点击后/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 右臂视角 - 点击后 - 基准变更为右臂视角,系统已启动，用户已登录,"1. 打开我的标注列表页
2. 点击操作中的【进入标注】
3. 在左侧样本列表中点击右臂视角","1. 成功打开列表页
2. 进入标注页面
3. 基准变更为右臂视角",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 右臂视角 - 点击后/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 左侧样本列表 - 右臂视角 - 点击后 - 右侧操作区域 3D姿态信息下方自动选中右臂,用户已登录，存在标注任务且进入我的标注列表页,"1. 在列表页点击【进入标注】
2. 在左侧样本列表中选择右臂视角
3. 点击右臂视角","1. 成功进入标注页面
2. 右侧操作区域显示3D姿态信息
3. 3D姿态信息下方自动选中右臂",1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 三种形式：/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 三种形式： - 摇操,系统已启动，用户已登录，已进入标注列表页,"1. 点击【进入标注】按钮
2. 在视频显示区域选择摇操形式
3. 观察视频显示区域","1. 成功进入标注页面
2. 视频显示区域切换为摇操形式
3. 视频正常显示且无异常",1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 三种形式：/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 三种形式： - 夹爪,系统已启动，用户已登录，已进入我的标注列表页,"1. 在列表页点击某条标注的“进入标注”
2. 查看中部标注视频区域的视频显示区域
3. 观察夹爪形式是否正常显示","1. 成功进入标注页面
2. 视频显示区域正常显示
3. 夹爪形式正确显示（形状、位置正常）",1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 三种形式：/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 三种形式： - 天机,用户已登录，在我的标注列表页,"1. 点击某条标注的【进入标注】按钮
2. 进入标注页面，观察视频显示区域
3. 检查视频显示区域的三种显示形式","1. 页面跳转至标注详情页
2. 视频显示区域正常加载
3. 显示三种形式，包括天机",1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频左上角显示 - 左/右臂视角 - 对齐基准/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频左上角显示 - 左/右臂视角 - 对齐基准 - 表示：以此臂视角为基准,系统已启动，用户已登录,"1. 进入我的标注列表页，选择一条标注，点击进入标注
2. 在视频显示区域查看左上角显示信息，选择左/右臂视角
3. 观察对齐基准的表示","1. 成功进入标注页面，视频区域显示
2. 左上角正确显示臂视角标识
3. 对齐基准正确表示为“以此臂视角为基准”",1,2,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频左上角显示 - 左/右臂视角 - 【设基准】/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频左上角显示 - 左/右臂视角 - 【设基准】 - 可点击，点击后以此臂视角为基准,系统已启动，用户已登录，已进入标注页面，视频加载完成且显示左/右臂视角,1. 点击视频左上角的【设基准】按钮,1. 按钮可点击，点击后系统以当前臂视角为基准，并提示设置成功或更新界面,1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 右上角可切换视频显示位置/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 右上角可切换视频显示位置 - 视频左右展示,用户已登录，在标注列表页，点击操作进入标注，显示中部标注视频区域，视频显示区域右上角有切换视频显示位置按钮,"1. 观察视频显示区域默认显示方式
2. 点击视频显示区域右上角的切换按钮
3. 观察视频显示区域变化","1. 视频显示区域默认显示为上下排列
2. 切换按钮被点击，图标或状态变化
3. 视频显示区域变为左右排列，且视频可正常播放",1,4,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 右上角可切换视频显示位置/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 右上角可切换视频显示位置 - 视频上下展示,用户已登录，存在标注任务，进入标注页面,"1. 进入标注页面
2. 点击视频显示区域右上角的切换按钮
3. 观察视频显示位置","1. 成功进入标注页面
2. 切换按钮可点击
3. 视频显示位置变为上下展示",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频 - 视频预加载优先级/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频 - 视频预加载优先级 - 当前时间段基准相机→当前时间段其他相机→邻近片段基准相机→邻近片段其他相机,用户已登录，我的标注列表页有标注项,"1. 点击「进入标注」按钮
2. 查看视频区域
3. 检查视频预加载顺序","1. 成功进入标注页面
2. 视频区域显示视频
3. 预加载顺序为：当前时间段基准相机→当前时间段其他相机→邻近片段基准相机→邻近片段其他相机",1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频 - 缓存上限控制/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频 - 缓存上限控制 - 最多缓存当前段前后 5 段，总计 11 段，长期使用页面内存无无限增长,系统已启动，用户已登录，进入我的标注列表页并打开标注视频,"1.
2.
3.
",,1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频 - 跳转到已缓存片段时，不重复请求资源，500ms 内恢复播放,用户已登录，存在已缓存的视频片段,"1. 进入标注页面并打开视频
2. 跳转到已缓存片段
3. 观察网络请求和播放恢复时间","1. 视频显示区域正常显示
2. 不发起新的资源请求
3. 视频在500ms内恢复播放",1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频右下角显示 - 局部xx.xxxs / 全局x:xx.xxx/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频右下角显示 - 局部xx.xxxs / 全局x:xx.xxx - 局部：当前这一帧在当前这个段视频的秒数,用户已登录，进入我的标注列表页，选择一个标注并进入标注页面,"1. 在标注页面的视频区域播放视频
2. 观察视频右下角的时间显示","1. 视频正常播放
2. 右下角显示局部时间（格式如xx.xxxs）和全局时间（格式如x:xx.xxx）",1,3,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频右下角显示 - 局部xx.xxxs / 全局x:xx.xxx/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频右下角显示 - 局部xx.xxxs / 全局x:xx.xxx - 全局：当前这一帧在视频总时间的秒数,系统已启动，用户已登录，已进入标注页面，视频已加载,"1. 在标注页面播放视频到某一帧
2. 观察视频右下角的时间显示
3. 记录全局时间显示值","1. 视频正常播放
2. 视频右下角显示全局时间，格式为“x:xx.xxx”
3. 全局时间显示值与当前帧在视频总时间中的实际秒数一致",1,2,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频右下角显示 - 局部xx.xxxs / 全局x:xx.xxx/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 视频右下角显示 - 局部xx.xxxs / 全局x:xx.xxx - 当前段开始时间 + 局部时间 = 全局时间,系统已启动，用户已登录，且存在至少一条标注记录,"1. 进入“我的标注”列表页
2. 点击某条标注记录的“进入标注”按钮
3. 在视频播放界面的右下角查看显示的时间信息","1. 成功显示标注列表
2. 进入标注视频播放页面
3. 视频右下角显示局部时间（格式xx.xxxs）和全局时间（格式x:xx.xxx），且当前段开始时间 + 局部时间 = 全局时间",1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 时间条 - 《/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 时间条 - 《 - 上一帧,系统已登录，进入标注页面，视频已加载,1. 点击时间条上的《上一帧按钮,1. 视频画面跳转到上一帧，时间条同步更新,1,2,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 时间条 - ▶️/⏸️/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 时间条 - ▶️/⏸️ - 播放/暂停,系统已启动，用户已登录，进入视频标注页面，视频显示区域有时间条,"1. 点击时间条上的播放按钮（▶️）
2. 等待视频播放一段时间
3. 点击暂停按钮（⏸️）","1. 视频开始播放，播放按钮变为暂停按钮
2. 视频进度条移动
3. 视频暂停播放，暂停按钮变为播放按钮",1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 时间条 - 》/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 时间条 - 》 - 下一帧,系统已启动，用户已登录，进入标注页面且视频已加载,1. 点击时间条上的“下一帧”按钮（〉）,1. 视频跳转到下一帧，时间条更新显示当前帧位置,1,1,功能测试,功能测试阶段
/我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 时间条/,我的标注（林禹成） - 列表页 - 操作 - 【进入标注】 - 中部标注视频区域 - 视频显示区域 - 时间条 - 可点击时间条跳转至任意时间位置,用户已登录，已在标注视频页面,"1. 在视频显示区域找到时间条
2. 点击时间条上的任意时间位置
3. 观察视频播放进度变化","1. 时间条显示正常
2. 视频跳转到点击的时间位置
3. 视频从该时间点继续播放",1,2,功能测试,功能测试阶段
